,text,sentiment
1,scottwalker didnt catch the full gopdebate last night here are some of scotts best lines in 90 seconds walker16 ,Positive
3,robgeorge that carly fiorina is trending hours after her debate above any of the men in justcompleted gopdebate says shes on ,Positive
4,danscavino gopdebate w realdonaldtrump delivered the highest ratings in the history of presidential debates trump2016 ,Positive
5,gregabbotttx tedcruz on my first day i will rescind every illegal executive action taken by barack obama gopdebate foxnews ,Positive
6,warriorwoman91 i liked her and was happy when i heard she was going to be the moderator not anymore gopdebate megynkelly ,Negative
8,deer in the headlights lizzwinstead ben carson may be the only brain surgeon who has performed a lobotomy on himself gopdebate ,Negative
9,nancyosborne180 last nights debate proved it gopdebate batsask badassteachersa tbats ,Negative
10,jgreendc realdonaldtrump in all fairness billclinton owns that phrasegopdebate ,Negative
11,waynedupreeshow just woke up to tweet this out gopdebate best line of the night via govmikehuckabee ,Positive
12,me reading my familys comments about how great the gopdebate was ,Negative
14,pattonoswalt i loved scott walker as mark harmons romantic rival in summer school look it up gopdebate ,Positive
15,hey chrischristie exploiting the tragedy of 911 for your own political gain is rudygiulianigops thing gopdebate ,Negative
16,carolcnn donaldtrump under fire for comments about women peterbeina slschaeffer iwf myrkiger weigh in on gopdebate ,Negative
17,johncardillo guess who had most speaking time at the gopdebate foxnews moderators with 317 of time ,Negative
18,reason comment is funny in case youre ignorant is the gop tcot are the reason the government isnt working for the people gopdebate ,Negative
19,pamelageller huckabee paying for transgender surgery for soldiers sailors and airmen does not make our country safer ha gopdebate ,Negative
20,chucknellis cruz has class amp truth that gets my vote gopdebate ,Positive
21,mchamric teatraitors gopdebate was still clown show im glad head clown trump helping destroy gop ,Negative
22,erinmallorylong no i hate planned parenthood and women more no i hate planned parenthood and women more gopdebate ,Negative
24,mrpooni fox news trying to convince us young black americans are more worried about isis than police terrorism gopdebate ,Negative
25,gopdebate rankings worst to be performance rubio kasich christie bush trump cruz walker paul huckabee carson ,Negative
26,thebaxterbean scott walkers aboion ban allows rapist father to sue for emotional distress gopdebate badger ,Negative
27,feministabulous its not a competition but how have we moved so far on gay rights but womens rights is worse than its ever been g ,Negative
28,mch7576 teatraitors gopdebate was still clown show im glad head clown trump helping destroy gop ,Negative
29,hillaryclinton watch the gopdebate bet you feel like donating to a democrat right about now ,Negative
30,fbhw theyre going to need to borrow the train horn for the next gopdebate the little bell was wimpy hornmeansyouredone ,Negative
31,lisavikingstad ted cruz at the gopdebate will be like ted cruz in bed he will keep a confusingly sad look on his face and refuse to ,Negative
34,winesdaypodcast an update on foxnews tech failures for the gopdebate ,Negative
35,amymek the torched has been passed gtcandycrowley is no longer the most famous political assassin congratulations megynkelly u wi ,Negative
36,stockwizards3 trumpcarson ticket would win in a landslide realdonaldtrump seanhannity anncoulter republican potus trump2016 ,Negative
37,kvxrdashian jeb bush obama is at fault not my brother because obama didnt clean up the mess my brother made gopdebate ,Negative
38,ali after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting foh journalism ,Negative
40,mgell trump is a cross between the shrug emoji and president business from the lego movie gopdebate ,Negative
41,jamellemybelle meanwhile in the white house gopdebate ,Negative
43,brownblaze please kkkorgop gopdebate ,Negative
44,trump thinks criticism of his misogynistic remarks is a political correctness problem nope its a pervasive sexism problem gopdebate ,Negative
45,lekarmasucre how the gopdebate handled blacklivesmatter ,Negative
48,danscavino gopdebate w realdonaldtrump delivered the highest ratings in the history of presidential debates trump2016 fox say thanks ,Positive
49,gov mosttweeted govmikehuckabee gopdebate moment saying purpose of military to kill peoplebreak things re trans servicemembers ,Negative
51,megynkelly chrisstirewalt big moments were randpaul vs chrischristie and realdonaldtrump reaction to women question kellyfil ,Positive
52,stylemom heres a question why in the hell are women amp our body pas even in this debate foh stop it its not 1965 wtf gopdebate ,Negative
53,rushlimbaugh americans getting beheaded overseas and megynkelly is worried whether realdonaldtrump calls rosie odonnell fat gopdebate ,Negative
54,chucknellis i wont defend foxnews they were far from fair or balanced last night but name calling is juvenile gopdebate ,Negative
55,theskysgoneout to nonchristians gopdebate god questions underline how little anyone really cares about religious minorities chri ,Negative
56,bipaisanism the gopdebate response to blacklivesmatter was pathetic ,Negative
57,factcheckdotorg jebbush said he cut fl taxes by 19b but that includes cuts in estate taxes mandated by federal law gopdebate ht ,Negative
58,mydaughtersarmy dear gop if you want to stop aboions gopdebate ,Negative
59,karrattipaul join isis and sign your death warrant signed tedcruz next president of the us gopdebate wakeupamerica cruzcrew htt ,Positive
60,p0tus gopdebate closing statements ,Negative
61,amymek status single i broke up with foxnews last night goodbye megynkelly bretbaier amp chris wallace gopdebate ,Negative
62,frankluntz before the gopdebate 14 focus groupers said they had favorable view of trump after only 3 saw him positively ,Positive
63,hollyrenee just made my first donation to carlyfiorina so impressed by her gopdebate performance fiorina ,Positive
64,thejimhughes if we want to stop sending foreign aid to places that burn our flag can we sta with berkeley gopdebate ,Negative
68,mspackyetti donald trumps campaign reveals 1 impoant thing twitter trolls are real people and they vote that should scare eve ,Positive
69,bipaisanism those saying dont worry trump will never be elected need to remember we elected george bush twice gopdebate ,Negative
70,fox news had its own gopdebate agenda promote carly never mention fired from hp fiorina amp run trump out of race ,Negative
71,hlllary oh one more thing did anyone hear anything about affordable child care for working families last night in the gopdebate i ,Negative
72,naughtybeyotch allenwestrepub dear jebbush gopdebate notamistake ,Negative
73,mahamaccallum billhemmer gopdebate bill and maha were the a team in the first debate 2nd debate was an ambush ,Positive
74,the countrys going to hell and megyn kelly on foxnews is attacking trump for a war on women gopdebate ,Negative
75,franklingraham 1st gopdebateencouraging to see several candidates express their faith in god and his son jesus christ ,Positive
76,snarkydemo donaldtrump said hes not politically correct which of course is trumpspeak for lets face it im huge asshole ,Negative
77,bipaisanism a message to the gopdebate candidates ,Negative
78,davidcicilline this is the worst episode of the apprentice that ive ever seen gopdebate ,Negative
